,id,Sentence,Aspect Term,Polarity,Category
5911,292,I went with 5 friends and we lingered at the table for a bit and didn't feel rushed at all even though there was a wait.,table,neutral,Restaurant
1867,32,"First, it does not have a push button to open the lid.",lid,neutral,Laptop
5680,474,"Save your money and don't waste your calories, go to Margharita's on Washington Street instead, they have amazing food and the BEST service.",service,positive,Restaurant
2918,954,After passing by this restaurant for sometime I finally decided to go in and have dinner.,dinner,neutral,Restaurant
2885,1971,The sides were ok and incredibly salty.,sides,negative,Restaurant
1747,1716,There was a little difficulty doing the migration as the firewire cable system can't be used with the iBook.,iBook,neutral,Laptop
2091,2854,"Then just the other day, my left ""mouse"" button snapped!","left ""mouse"" button",negative,Laptop
5684,3662,The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.,cod with pineapple tempura,positive,Restaurant
4831,657,"Always popular, always full, always a wait.",wait,negative,Restaurant
1094,2497,BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,Windows,neutral,Laptop
1121,1887,"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.",keyboard,negative,Laptop
1786,1576,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",display,positive,Laptop
2789,1646,Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls.,Spider Rolls,positive,Restaurant
809,2320,"I bought a Logitech desktop set in anticipation for using with the MBP, but I use the touchpad 90% of the time.",touchpad,positive,Laptop
2245,2573,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",memory,neutral,Laptop
5477,1917,"The food, served in small tasting portions (as an option) is very good with each dish being better than the next.",portions,positive,Restaurant
5958,3494,Went to Ottimo and was expecting outstanding pizza (as I love La Pizza Fresca).,pizza,neutral,Restaurant
4241,2961,"Fresh, authentic, french cuisine in substantial portions.",french cuisine,positive,Restaurant
2882,3441,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,lobster sandwich,conflict,Restaurant
4630,2746,I've never had bad service and the fish is fresh and delicious.,service,positive,Restaurant
5745,2289,The service is good and the resturant is clean.,service,positive,Restaurant
1406,1660,"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.",program,positive,Laptop
5212,14,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.",staff,negative,Restaurant
2799,1957,Try the cheesecake!,cheesecake,positive,Restaurant
1669,904,"THEN, one month after the warranty expired, the replacement charger went.",warranty,neutral,Laptop
3303,1555,"Behind this counter, two men are squeezed in.",counter,negative,Restaurant
2897,3295,I must say the view of NYC is so beautiful!,view,positive,Restaurant
4302,2508,Love the Jazz bands on Fri and Sat.,Jazz bands,positive,Restaurant
4837,3707,Best Pastrami I ever had and great portion without being ridiculous.,Pastrami,positive,Restaurant
2464,672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,neutral,Restaurant
3992,2036,"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.",dishes,negative,Restaurant
1204,1046,I have no idea how this could have even gotten past quality control during production.,quality control,negative,Laptop
5674,3095,"The palak paneer was standard, and I was not a fan of the malai kofta.",malai kofta,neutral,Restaurant
5848,3266,"If you are someone who appreciates simplicity, elegance, and wonderfully presented and tasting seafood and vegetables regardless of portion size, Kai is your place.",portion size,negative,Restaurant
2389,675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,positive,Restaurant
4304,3114,"To begin, we were told there was a 30 minute wait and started to leave, when the hostess offered to call us on our cell phone when the table was ready.",wait,negative,Restaurant
1652,1766,It is sleek and lightweight and charges quickly when needed.,charges,positive,Laptop
6017,2325,The selection changes frequently but the basic dishes are always available.,basic dishes,neutral,Restaurant
4387,1196,The service is awful--the last time I was there (and I do mean the last time) we were told that they needed our table so we would have to leave.,service,negative,Restaurant
829,741,"Small enough to use on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.",carry,positive,Laptop
1536,3056,"The speed difference is next to NOTHING for a mac, and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive.",speed,negative,Laptop
3100,2152,The bagels are fabulous.,bagels,positive,Restaurant
438,1196,"The Apple will run Internet Explorer, but at an amazingly slow rate.",Internet Explorer,conflict,Laptop
627,515,"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranty,neutral,Laptop
4862,910,"Service was very good - prompt, attentive and non-intrusive.",Service,positive,Restaurant
4608,1322,one of the best Chicken Tikka Masala.,Chicken Tikka Masala,positive,Restaurant
925,1895,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",quality,negative,Laptop
3075,1152,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,music,negative,Restaurant
1817,1201,"Once again, I was told it was the suspicious  power supply  problem.",power supply,negative,Laptop
5889,334,The food was great and the service was even better.,food,positive,Restaurant
2916,3694,black white shakes came out good also.,black white shakes,positive,Restaurant
2481,2604,Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,positive,Restaurant
1173,2234,and it comes with the new OSX that comes with new features that makes the use more easy.,OSX,positive,Laptop
3322,3018,"Oh, don't even let me start with how expensive the bills were!",bills,negative,Restaurant
4440,2715,"The steak is good, the fish is good and the sushi was surprisingly great.",sushi,positive,Restaurant
944,334,It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,video editing,positive,Laptop
4987,1686,"Considering their price of $6.25 for lunch special, the dish was ridiculously small.",price,negative,Restaurant
2330,2561,"I wish iWork or MS Office came with the Mac, but MS Office doesn't even come with most pc laptops.",MS Office,negative,Laptop
12,76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,positive,Laptop
1117,1843,  I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.,tech support,negative,Laptop
4400,3425,We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,sauce,positive,Restaurant
3982,814,The food was absolutely amazing!!,food,positive,Restaurant
5414,3366,"The food is amazing, rich pastas and fresh doughy pizza.",pizza,positive,Restaurant
642,2828,Excellent speed for processing data.,speed,positive,Laptop
2653,1630,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",calamari,positive,Restaurant
3660,3141,The service is a little scatty at times but all is forgiven when the food arrives.,service,negative,Restaurant
2609,603,The service was attentive and her suggestions of menu items was right on the mark.,service,positive,Restaurant
3703,3157,Try the olive cream cheese or the lox spread on a whole wheat everything bagel.,lox spread,positive,Restaurant
3220,3280,Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,soup,positive,Restaurant
5307,2127,Terrific menu full of unique rolls and special dishes.,menu,positive,Restaurant
5532,3183,"I've eaten thai many times, and am very familiar with the cuisine.",cuisine,neutral,Restaurant
2865,1705,"While certain staples are excellent (the burger, some of the pastas), the food is not really the point.",burger,positive,Restaurant
2728,2396,All the NYU students love this place so it makes for a fun young atmosphere.,atmosphere,positive,Restaurant
3197,1827,He takes real pride in his food and his business.,food,positive,Restaurant
2306,778,"I spoke with a service rep at Micro Center and his girlfriend is having the same problem with her power adapter, so it's not just an isolated incident!!!",power adapter,negative,Laptop
653,3035,It works really well.,works,positive,Laptop
429,2481,It is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on PC's.,virus protection,positive,Laptop
2535,1819,Ambiance- relaxed and stylish.,Ambiance,positive,Restaurant
1729,1171,"I chose the iBookG4, a laptop that is an attractive computer with a large screen big enough to please anyone.",screen,positive,Laptop
2622,1478,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",values for your money,positive,Restaurant
5176,931,It took them 15 minutes to put water in our glasses.,water,neutral,Restaurant
1448,14,"Not too much ""junk"" software to remove.",software,positive,Laptop
1569,111,"The keyboard, which generally felt okay even for someone used to a desktop keyboard, now looks terrible.",keyboard,conflict,Laptop
3551,839,"Given the incredible architecture surrounding it, this place has no character.",architecture,positive,Restaurant
838,150,It is very well built.,built,positive,Laptop
1087,2532,The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,software,negative,Laptop
4085,2702,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",Guacamole+shrimp appetizer,positive,Restaurant
2199,552,"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor",Price,negative,Laptop
3319,3315,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,price,positive,Restaurant
3528,1949,"If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken, go to Village!",martini,neutral,Restaurant
4189,1424,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.",Shredded Squid Family Style,positive,Restaurant
856,15,Runs fast and the regular layout keyboard is so much better.,regular layout keyboard,positive,Laptop
5008,615,The food was pretty tradional but it was hot and good with large portions.,portions,positive,Restaurant
3626,502,We were very surprised by how good the food was on our first visit here on a Sunday night.,food,positive,Restaurant
5202,2927,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",place,positive,Restaurant
2465,2972,First went here to enjoy their garden terrace.,garden terrace,positive,Restaurant
4769,237,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",drunken chicken,positive,Restaurant
2771,1133,yourself a favor and have dinner here and see if you dont agree with me.,dinner,neutral,Restaurant
693,205,Images are crisp and clean.,Images,positive,Laptop
3096,275,Raga stands out with an interesting fusion of French and Indian cooking.,fusion of French and Indian cooking,positive,Restaurant
2715,763,"We were seated promptly as we had reservations, however after that the service was slow.",reservations,positive,Restaurant
188,2938,I wish the volume could be louder and the mouse didnt break after only a month.,mouse,negative,Laptop
287,138,only good thing is the graphics quality.,graphics quality,positive,Laptop
4957,415,I've waited over one hour for food.,food,neutral,Restaurant
1837,1216,Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.,warranty,negative,Laptop
3515,340,The rice was poor quality and was cooked so badly it was hard.,rice,negative,Restaurant
2876,1817,Food-awesome.,Food,positive,Restaurant
4040,1017,sometimes i get good food and ok service.,food,positive,Restaurant
2104,1399,the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.,wireless switch,negative,Laptop
2375,296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,negative,Restaurant
2594,231,I went there in late afternoon for some bite size food and refleshment with my date.,food,neutral,Restaurant
2157,1159,"I would rate this computer at 5 stars, but considering it has a short life span I can only give it 1 and implore anyone looking at laptops to stay away from this machine.",life span,negative,Laptop
2182,952,The next time I had an issue my lightscribe wouldn't work.,lightscribe,negative,Laptop
3033,2450,We had the pot-stickers which were great and a tempura dish that was great.,pot-stickers,positive,Restaurant
210,3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",cooling system,negative,Laptop
1483,3046,"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up.",genius bar staff,negative,Laptop
3353,2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,garlic naan,positive,Restaurant
5905,3647,We were seated and ignored by waitstaff.,waitstaff,negative,Restaurant
2807,504,"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",Decor,positive,Restaurant
73,2050,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,negative,Laptop
5782,1123,"Plus, when our entrees were held up in the kitchen on a busy Saturday night, the owner sent over complimentary summer rolls to hold us over!",summer rolls,positive,Restaurant
2432,2983,"Nice atmosphere, the service was very pleasant and the desert was good.",desert,positive,Restaurant
4402,2698,We were also seated promptly at the time of our reservation and the service was very quick and professional.,reservation,positive,Restaurant
4868,2016,We began with the cheese fondue (the artisanal blend) and added apples and kielbasa to dip.,cheese fondue,neutral,Restaurant
3849,3084,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",sevpuri,positive,Restaurant
5445,3224,"The menu may be small, but everything on it is delicious.",menu,negative,Restaurant
4309,3156,"Don't expect to sit down inside though, there are only a few tables and they are always full.",tables,negative,Restaurant
5639,2320,"Service was slow, but the people were friendly.",Service,negative,Restaurant
5378,1966,"If you can handle that, it's a great place for a business dinner, fun with friends or simply a table for 2.",business dinner,positive,Restaurant
1231,2071,"So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all, I just chose to hide the message.",performance,neutral,Laptop
3575,1586,THE FOOD PORTIONS ARE REALLY LARGE.,FOOD PORTIONS,positive,Restaurant
2471,1688,All my co-workers were amazed at how small the dish was.,dish,negative,Restaurant
5916,1508,"they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible.",discount,negative,Restaurant
